key,name,value,unit,gas,gwp_set,ghg_scope,ghg_category,source_id,source_ref,retrieved,note,updated,value_invalid,is_duplicate_key,is_biogenic_memo,gwp_set_missing_structural,gwp_set_missing_unexpected,note_missing,outlier_flag,outlier_reason
fuels.gbr.aviation_spirit.kwh_gcv,UK Aviation spirit — combustion (kWh (Gross CV)),0.24382,kg CO2e per kWh,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Fuels'!D62,2026-06-18,,2026-06-18,False,False,False,False,False,True,False,
fuels.gbr.aviation_spirit.kwh_ncv,UK Aviation spirit — combustion (kWh (Net CV)),0.25666,kg CO2e per kWh,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Fuels'!D61,2026-06-18,,2026-06-18,False,False,False,False,False,True,False,
fuels.gbr.aviation_spirit.litre,UK Aviation spirit — combustion (litres),2.33116,kg CO2e per litre,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Fuels'!D60,2026-06-18,,2026-06-18,False,False,False,False,False,True,False,
fuels.gbr.aviation_spirit.tonne,UK Aviation spirit — combustion (tonnes),3193.6948,kg CO2e per tonne,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Fuels'!D59,2026-06-18,,2026-06-18,False,False,False,False,False,True,False,
fuels.gbr.aviation_turbine_fuel.kwh_gcv,UK Aviation turbine fuel — combustion (kWh (Gross CV)),0.24758,kg CO2e per kWh,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Fuels'!D66,2026-06-18,,2026-06-18,False,False,False,False,False,True,False,
fuels.gbr.aviation_turbine_fuel.kwh_ncv,UK Aviation turbine fuel — combustion (kWh (Net CV)),0.26061,kg CO2e per kWh,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Fuels'!D65,2026-06-18,,2026-06-18,False,False,False,False,False,True,False,
fuels.gbr.aviation_turbine_fuel.litre,UK Aviation turbine fuel — combustion (litres),2.54269,kg CO2e per litre,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Fuels'!D64,2026-06-18,,2026-06-18,False,False,False,False,False,True,False,
fuels.gbr.aviation_turbine_fuel.tonne,UK Aviation turbine fuel — combustion (tonnes),3178.3652,kg CO2e per tonne,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Fuels'!D63,2026-06-18,,2026-06-18,False,False,False,False,False,True,False,
fuels.gbr.bio.avtur_renewable.gj,UK Avtur (renewable) — combustion non-CO2 (GJ),0.7234,kg CO2e per GJ,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D57,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.avtur_renewable.gj).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.avtur_renewable.kg,UK Avtur (renewable) — combustion non-CO2 (kg),0.03179,kg CO2e per kg,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D58,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.avtur_renewable.kg).,2026-06-18,False,False,False,False,False,False,False,
fuels.gbr.bio.avtur_renewable.litre,UK Avtur (renewable) — combustion non-CO2 (litres),0.02533,kg CO2e per litre,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D56,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.avtur_renewable.litre).,2026-06-18,False,False,False,False,False,False,True,log-z=-6.17
fuels.gbr.bio.biodiesel_hvo.gj,UK Biodiesel HVO — combustion non-CO2 (GJ),1.03677,kg CO2e per GJ,CO2e,AR5_100,scope1,stationary_combustion,DEFRA_2026,'Bioenergy'!D36,2026-06-18,Non-CO2 component only (CH4 + N2O at AR5). DEFRA Bioenergy sheet does not publish per-gas decomposition; AR6 alternate unavailable. Biogenic CO2 for this fuel shipped in v2025.12a (paired key fuels.uk.bio.biogenic.biodiesel_hvo.gj).,2026-06-18,False,False,False,False,False,False,False,
